letra.1	letra.2	occurrence
Numpad 6	Numpad 4	4
Space	S	4
E	M	14
Shift	0	1
4	5	21
A	N	69
3	C	6
A	Y	4
E	V	159
S	,<	148
O	O	6
J	S	1
G	E	11
L	\u00e1	2
R	Numpad 1	1
NumLock	NumLock	3
E	D	46
I	T	11
E	O	6
O	N	48
B	1	5
-_	2	2
NumLock	Backspace	1
T	N	1
7	7	5
Backspace	Q	1
A	3	1
\u0000	Backspace	1
O	M	103
Backspace	2	4
S	S	2
Space	O	168
Right	M	1
O	L	28
-_	0	1
5	CapsLock	1
A	B	26
M	Shift	1
.>	T	10
2	3	78
U	T	6
D	S	2
Backspace	O	8
C	V	1
J	Backspace	2
4	Backspace	1
O	T	9
I	J	1
J	H	1
C	U	2
Right	Left	2
.>	S	10
Numpad 5	Numpad 4	1
G	.>	46
N	O	195
A	7	5
5	6	5
.>	Left	1
S	O	16
Numpad 2	Numpad 3	22
-_	F	2
2	M	1
Backspace	E	25
A	O	22
Backspace	Backspace	265
T	H	16
Backspace	D	3
O	Backspace	9
3	4	20
F	C	58
C	R	164
C	Shift	2
E	L	30
S	2	6
.>	J	5
O	V	5
J	1	5
T	A	48
T	Backspace	4
U	Backspace	14
A	0	5
O	U	6
Shift	G	71
D	1	5
;:	L	1
P	2	5
E	N	23
N	T	14
Backspace	A	25
Numpad 3	Numpad 4	5
A	C	26
Backspace	R	14
A	U	9
Space	T	5
E	2	9
P	T	4
R	0	6
2	C	27
U	Shift	5
1	R	6
Alt	U	1
N	Backspace	10
J	A	184
D	N	4
S	4	1
Space	C	4
Backspace	M	25
R	2	9
O	2	12
A	L	209
Z	E	5
J	2	1
A	G	6
Y	B	4
A	;:	2
L	Backspace	4
Left	Left	13
9	Backspace	1
Backspace	L	4
O	1	10
E	S	185
Numpad 5	Numpad 6	4
I	D	2
Y	Backspace	3
.>	B	58
I	O	41
F	4	5
Left	I	1
2	G	42
N	A	20
T	I	6
U	A	6
G	Backspace	5
Numpad 1	Numpad 3	5
Shift	O	1
,<	Backspace	5
S	C	158
X	S	1
J	Shift	1
Backspace	I	11
1	9	6
Numpad 2	Numpad 4	5
3	A	5
M	Backspace	15
U	C	5
A	R	391
M	Left	1
R	Numpad 2	5
A	Numpad 1	5
Backspace	H	1
U	]}	1
Numpad 7	Numpad 5	4
Shift	M	6
0	N	6
I	V	11
Numpad 4	A	5
I	A	8
F	F	1
.>	O	13
Numpad 9	Numpad 7	3
0	Shift	5
,<	A	1
R	1	4
D	A	1
E	Y	4
K	A	5
Down	Down	1
Backspace	U	14
L	Numpad 1	5
A	D	2
L	R	5
O	C	1
T	S	10
A	V	15
F	Backspace	3
S	X	1
Backspace	T	8
Shift	/?	1
I	S	7
P	M	1
Q	U	5
O	B	10
I	L	136
CapsLock	A	18
9	9	6
N	I	9
O	A	12
U	I	12
Backspace	CapsLock	1
\u00e1	.>	2
E	Shift	4
S	M	1
E	R	225
3	-_	3
C	.>	46
Backspace	G	7
Q	Backspace	1
G	N	5
Shift	F	2
0	S	5
Numpad 4	Numpad 5	4
L	Y	9
A	S	344
4	B	5
Backspace	F	2
3	2	1
M	J	5
S	T	22
Backspace	P	4
P	CapsLock	17
R	Shift	11
S	Numpad 4	4
1	C	6
3	1	5
M	0	5
R	T	22
L	W	5
L	L	5
;:	.>	1
D	R	7
V	4	5
S	I	9
O	;:	1
L	Z	5
D	I	170
K	I	6
2	/?	1
Backspace	C	10
O	Space	328
Tab	R	1
.>	E	47
1	5	5
L	U	25
O	.>	187
.>	Backspace	7
I	7	5
CapsLock	P	15
Z	I	5
E	X	1
E	C	10
C	O	123
H	G	1
I	NumLock	1
P	E	14
L	.>	116
Down	Enter	3
T	B	1
9	6	1
L	H	8
O	Tab	3
O	I	4
C	N	1
R	Down	1
S	E	30
Y	E	4
Right	I	1
3	Shift	3
N	R	2
Home	Right	1
J	R	4
A	P	5
C	L	2
Backspace	N	9
G	Alt	1
Backspace	,<	27
S	L	1
P	R	2
H	U	18
I	.>	1
1	Backspace	1
U	Space	162
S	Numpad 1	5
P	U	1
/?	Backspace	1
3	Backspace	1
Space	N	1
Shift	L	1
9	3	6
L	O	3
Backspace	Space	21
U	J	5
D	U	46
J	U	5
Numpad 4	2	5
S	A	178
7	6	5
H	Backspace	3
E	I	186
Space	Space	148
1	2	78
T	L	2
Numpad 6	Numpad 5	1
M	U	2
A	T	11
C	H	1
L	B	5
O	S	192
Backspace	J	9
Space	P	3
Left	Right	1
Shift	-_	4
C	G	51
H	O	10
I	C	10
I	Space	1
O	R	14
O	Numpad 1	5
T	E	198
B	R	59
T	J	1
,<	Space	326
/?	2	1
Numpad 5	Numpad 9	4
1	L	10
5	9	1
Shift	C	19
Tab	1	2
I	Backspace	9
B	S	4
Backspace	Shift	11
R	.>	15
N	H	23
A	Shift	25
Shift	R	5
Z	.>	6
V	E	176
O	P	1
M	Space	15
-_	Shift	5
G	Y	2
L	I	43
R	A	215
C	D	10
U	P	8
Space	Backspace	45
Backspace	V	3
0	R	5
L	K	5
S	D	6
Space	L	2
I	U	1
E	.>	15
C	C	94
I	N	182
Tab	Right	3
S	Shift	5
A	Backspace	22
2	0	5
Tab	Home	1
N	K	6
L	G	160
R	C	2
U	R	20
E	U	163
Backspace	.>	12
R	D	169
Backspace	Ctrl	1
V	A	20
W	I	5
Backspace	S	14
2	Backspace	2
T	O	15
.>	U	47
G	Shift	1
D	F	10
T	T	1
L	E	18
R	E	186
Numpad 0	Numpad 9	5
Enter	Backspace	1
L	D	5
S	R	2
J	O	15
C	2	5
Space	H	1
H	A	32
E	H	11
N	1	6
B	CapsLock	1
O	,<	1
L	2	1
N	E	177
T	M	4
U	E	14
T	3	5
T	R	6
E	Space	11
Tab	C	1
L	C	6
E	B	5
R	G	8
M	,<	150
